Interview_ID,Segment_ID,District,Speaker_Role,Code,CSEL_Pillar,CERI_Tier,Severity (0–3),Auto_Classifier_Similarity_Score,Quote (original),Quote (translated)
P02,77.0,Alwar,P02,Health,Climate Impacts,Exposure,2,0.035,"Tat ke baal ud gaye the. Sar pe matka dho dho ke. Aur vo bole ki pehle toh tat pe baal hi chale gaye the. Ab baith ke sweater bhunate hoon — apne pote ke liye, apne bachchon ke liye. Nabad mein bahut saare region hain jahan pe ye wale region pe baal nahi hain kyunki matka utha utha ke.","The hair at the temples had flown away — from carrying the pot on the head. And they said: earlier the hair at the temples had all gone. Now I sit and knit sweaters — for my grandchildren, for my children. In many regions of Nabad, the women in those regions have no hair because of carrying the pot."
P02,84.0,Alwar,P02,Community adaptation practice,Adaptation,None,2,0.099,"So if I say that you came to me and you said that you have this problem, I have a solution for it — aapne khud decide kiya ki mera problem kya hai. Theek hai? Aapko bahar se jo dikha, aapne aur aap aa gaye meri problems ko solve karne ke liye. So I never got interested. Plus, more than interest — jab koi solution provide kiya gaya hota hai toh aap — jiske liye vo solution hai — vo usse kitna attach ho raha hai uss solution se?","So if I say that you came to me and said you have this problem, I have a solution for it — you yourself decided what my problem is. Right? Whatever you saw from outside, and you came to solve my problems. So I never got interested. Plus, more than interest — when a solution is provided, the person for whom that solution is — how attached are they becoming to that solution?"
P03,123.0,"Jaisinghpura, Jaipur Rural",TBS Field Worker,Economic and Financial Stress,Economic Conditions,Vulnerability,2,0.184,"Aajkal toh ek bhains chali gayi aapda mein toh aap Rs. 10,000 denge toh bhains kharid lijiye.","Nowadays if a buffalo dies in a disaster they give you Rs. 10,000 and say go buy a buffalo."
P02,94.0,Alwar,P02,Institutional / protection gap,Community Risks,Vulnerability,2,0.173,"'Hum jis jaati se aate hain na — humare liye koi kuchh nahi karta.' So he said: 'kis scheme se paisa utha raha hai tu, aur kitna uthana hai, aur kahan sign karna hai? Tu mujhe bata, par tu please ye roz aana chhod. Matlab tu dukhi kar diya yaar, 15 din ho gaye tere ko mere — matlab makkhi ki tarah bhinbhina raha hai.' So he said: 'mere ko toh kahin pe sign nahi karana — jab aapka taka banaunga na, tab aapke kagazon pe sign karunga, abhi kahin nahi karana.'","'From the community we come from — nobody does anything for us.' So he said: 'Which scheme are you drawing money from, how much do you have to take, and where do I have to sign? You tell me, but please stop coming daily. I mean you have made me miserable — 15 days now — I mean you are buzzing around like a fly.' So he said: 'I don't have to sign anywhere right now — when I build your taka, then I will sign your papers, not anywhere now.'"
P02,95.0,Alwar,P02,Institutional / protection gap,Community Risks,Vulnerability,2,0.163,"And he was so sure that this is fake. And he says that: 'yaar aaj tak na jaane kitne log aaye, kitne hi sign karwaye hain, vo paisa kahan ja raha hai, kidhar ja raha hai, nahi pata.' So when we started working there — aaj se chaar saal pehle — vahan pe kuch farm ponds ban rahe the aur ek side hamara project tabhi shuru ho raha tha. Toh there were few people jinhonne kaha ki humne toh ek sarkari scheme chalti hai jismein farm ponds bante hain — toh unhone usme apna naam likhwa rakha tha. So somehow vo awareness create hui aur phir somehow we managed to convince few farmers ki aap apna farm pond banwa lo.","And he was so sure that this is fake. And he says: 'God knows how many people came till today, how many signatures were taken, where that money is going, nobody knows.' So when we started working there — four years ago — some farm ponds were being built there and on one side our project was starting then. So there were a few people who said: there is a government scheme in which farm ponds are made — so they had already registered their names in it. So somehow that awareness was created and then somehow we managed to convince a few farmers to get their farm pond built."
P02,100.0,Alwar,P02,Institutional / protection gap,Community Risks,Vulnerability,2,0.128,"Pichhle saal Suresh bhai said ki they are saying ki 'aapne humare saare logon ke bana liye.' Are — aapko jo aapko chaar saal pehle banane the, vo humne chaar saal mein dhire-dhire karke bhai — vo log pareshan hue — aur aap free mein bana rahe ho, main 50% contribution le rahi hun. 'Achha 50%' — kisan ke liye mayne rakhta hai. Toh so vo faith lose ho gaya hai logon mein because of the reputation, the kind of work jo chal raha hai.","Last year Suresh bhai said they are saying: 'You have built for all our people.' Oh — what you should have built four years ago, we built it gradually over four years — they got frustrated — and you are building it for free, I am taking 50% contribution. 'Oh 50%' — it matters to the farmer. So that faith has been lost in people because of the reputation, the kind of work that has been going on."
P03,122.0,"Jaisinghpura, Jaipur Rural",Ram Swaroop ji,Economic and Financial Stress,Economic Conditions,Vulnerability,3,0.211,Abhi dedh lakh ki bhains. Abhi parson ki roz hi apni ek bhains expire ho gayi.,Right now a buffalo costs one and a half lakh. Just the day before yesterday our own buffalo died.
P02,111.0,Alwar,P02,Housing and Infrastructure,Climate Impacts,Exposure,3,0.24,"Toh maine use puchha — Amma, baarish kaisi hui maan se iss baar? Toh bolte hain: 'are laa beta, bahut badhiya, bahut badhiya.' Toh maine kaha: 'bahut badhiya?' Maine kaha nuksaan kitna ho gaya? Bole: 'are bhale hua ho — main aur mehman kate badhiya. Matlab main aur mehman — ye do kismat walon ki kismat mein hote hain.' Matlab someone jiska ghar, ghar ki chhat gir gayi hai, someone jis ab soti hai toh teen tirchi padi hai, us teen ke neeche vo soti hai — aur iski koi guarantee nahi hai ki raat ko baarish nahi hogi. Vo baarish bhi hogi, ye ghar gal jaayega, bah jaayega.","So I asked her: Amma, how was this rain this time? She says: 'Oh come, beta, very wonderful, very wonderful.' I said: 'very wonderful?' I asked: how much damage happened? She said: 'oh, good it came — water and guest, these are the two things that come only to the fortunate.' Meaning: someone whose house roof has fallen, someone who now sleeps under a charpoy (cot) lying sideways, sleeping under that charpoy — and there is no guarantee that it won't rain at night. It will rain, the house will melt, it will wash away."
P02,112.0,Alwar,P02,Housing and Infrastructure,Climate Impacts,Exposure,3,0.049,"Aur mujhe I realized ki — ek aur mahila hai, Shaitan Singh ki wife hai Renu — unke bachcha — vo bahut time se try karte the — unke chaar paanch bachchiyan ho gayi, kuch miscarriages ho gaye — aur he is financially bahut struggle kar rahe the. Uske beta hua. Aur when I got to know ki Shaitan Singh ke beta hua, main bahut khush thi. And I hardly know him. Aur then uske saat din ka tha uska bachcha — aur bahut tezi din baarish hui thi — uska ghar gal gaya. Uski saat aath saal ki bachchi thi, vo ghar ke bahar paavda leke khadi thi ki kaise bhi mitti ka ek dher kar dun ki bahar ka paani ghar ke andar nahi aaye. Ghar gal raha tha.","And I realized — there is another woman, Shaitan Singh's wife, Renu — her child — they had been trying for a long time — they had four or five daughters, some miscarriages happened — and he is financially very struggling. She had a son. And when I got to know that Shaitan Singh had a son, I was very happy. And I hardly know him. And then the child was seven days old — and it rained heavily that day — his house melted. His seven to eight year old daughter was standing outside the house with a shovel trying somehow to pile up mud so that the water from outside doesn't come inside. The house was melting."
P02,113.0,Alwar,P02,Water scarcity/rainfall change,Climate Impacts,Hazard,2,0.259,Toh I realized ki humare paas sab kuchh hai aur phir bhi ye cheezen humein pareshan karti hain. Kaise maine har region mein puchha aur har koi pareshan tha. Main bhi pareshan tha — mere bhi mujhe bhi pareshani hui jab baarish hui thi. Lekin uss mahila ka sab kuchh bah gaya — par vo pareshan nahi thi. She was thinking ki 'main shukra — main kismat vali hun ki mere ghar mehman aaye.' Kyunki vo nature ko kabhi tokna nahi chahte.,So I realized: we have everything and yet these things bother us. How — I asked in every region and everyone was troubled. I was troubled too — even I was troubled when it rained. But that woman's everything had washed away — yet she was not troubled. She was thinking: 'I am grateful — I am fortunate that guests came to my home.' Because they never want to interrupt nature.
P02,114.0,Alwar,P02,Water scarcity/rainfall change,Climate Impacts,Hazard,1,0.18,"Vo nature ko — it's like it's the beauty na ki nature — maan ke maan ka gussa bhi hota hai aur maan ka pyaar bhi hota hai. Ab maan ka pyaar toh lena chahte ho par maan ka gussa nahi lena chahte — jo ek saath bahut saari baarish hui, vo ho sakta hai maan ka gussa ho. Par they are ready for it.","They treat nature — it's like it's the beauty, isn't it — nature — a mother's anger also happens and a mother's love also happens. Now you want to take the mother's love but don't want to take the mother's anger — the rain that came all at once, that could be the mother's anger. But they are ready for it."
P02,127.0,Alwar,P02,Community adaptation practice,Adaptation,None,1,0.265,"Till the time hum ek dusre ko thoda-thoda space den, aur ek dusre ke liye aur vo space den trust build up karne ke liye — toh I think that is one thing that I want every place. Even with nature — hum mujhe lagta hai ki humein thoda sa space deke sochna chahie ki is it really a disaster, ya ye hamara fault hai, ya there is something that we need to fix. So I think there is space and that space builds trust. Space builds everything.","Till the time we give each other a little space, and give each other that space to build trust — I think that is one thing that I want every place. Even with nature — I feel we need to give a little space and think: is it really a disaster, or is this our fault, or is there something that we need to fix. So I think there is space and that space builds trust. Space builds everything."
P02,75.0,Alwar,P02,Successful Intervention,Adaptation,None,0,0.051,"Aur ya — aur phir ye mahilaon ke dimaag ko shant karta hai. Aaj agar mera padosi hai jo mujhe 24 ghante keh raha hai ki 'yaar tera beta vahin padha rehta hai' — aur vahi hai jo mujhe ye keh rahe hain ki 'yaar meri teacher ne bola hai ki mere bachche ne bahut achha kiya.' I feel proud, I feel happy. As a mother, as a women — mera physical stress kam ho gaya, toh main vaise bhi khush hoon. Toh now I have time — time to do things that I like.","And yes — and then this calms women's minds. Today if my neighbour is telling me 24 hours: 'your son just sits around there' — and they are the same ones who say to me: 'the teacher said my child did very well.' I feel proud, I feel happy. As a mother, as a woman — my physical stress has reduced, so I am happy anyway. So now I have time — time to do things that I like."
P02,73.0,Alwar,P02,Successful Intervention,Adaptation,None,0,0.201,"The kids are getting the sense of good and bad. Aur isske saath mein hi ye jo aap jab bachchon ke result achchhe aate hain, bachchon mein improvement aata hai, bachche kam bimaar padte hain — in sab ka asar maan ke upar padta hai. Mera bachcha khush hai toh main khush hun. Mera pati khush hai toh main khush hun. Mere sasur healthy hain, kam bimariyan hain. Toh ye sab kuchh lekar aa raha hai — mere physical stress ko kam kiya hai.","The kids are getting the sense of good and bad. And alongside this — when children's results improve, there is improvement in children, children fall ill less — all of this affects the mother. My child is happy so I am happy. My husband is happy so I am happy. My in-laws are healthy, fewer illnesses. So all of this brings — it has reduced my physical stress."
P03,124.0,"Jaisinghpura, Jaipur Rural",Ram Swaroop ji,Economic and Financial Stress,Economic Conditions,Vulnerability,1,0.18,"Haan, dedh lakh rupaye kitni chahiye. Ek mahine ke baad mein vo pyarthi. Do din uske thoda normal si tabiyat kharab rahi — teesre roz uske check up bhi karaya — aadhe ghante baad mein doctor.","Yes, a buffalo costs one and a half lakh. She was due to deliver (be with calf) in a month. For two days she was a little unwell — on the third day had her checked up — half an hour later the doctor (said she was gone)."
P02,39.0,Alwar,P02,Health,Climate Impacts,Exposure,2,0.1,"Yahan ka paani, yahan ka jo belt hai na, ye pura belt hai — ismen paani bahut khara hai. So yahan pe ye ek aur matlab yahan ka bada problem hai. So jo log afford kar sakte hain, vo water filters laga lete hain, but ek bada chunk hai jo nahi kar pata. Toh vo log usi paani ko peete hain.","The water here — the belt that this region is in — throughout this belt the water is very brackish. So this is another big problem here. Those who can afford it get water filters installed, but there is a big chunk that cannot. So those people drink that same water."
